eden	aybaşı	kanamalarından
aybaşı	kanamalarından	sıcak
kanamalarından	sıcak	basmanın
sıcak	basmanın	olmamasından
basmanın	olmamasından	memnundular
olmamasından	memnundular	örneğin
memnundular	örneğin	aybaşında
örneğin	aybaşında	olan
aybaşında	olan	kadınların
olan	kadınların	terini
kadınların	terini	koklayan
terini	koklayan	hemcinslerinin
koklayan	hemcinslerinin	regl
hemcinslerinin	regl	günlerinin
regl	günlerinin	değişikliğe
günlerinin	değişikliğe	uğradığı
değişikliğe	uğradığı	saptandı
uğradığı	saptandı	aybaşında
saptandı	aybaşında	maaşımı
aybaşında	maaşımı	aldığım
maaşımı	aldığım	zaman
aldığım	zaman	ev
zaman	ev	gereksinimlerimiz
ev	gereksinimlerimiz	için
gereksinimlerimiz	için	gerekli
için	gerekli	parayı
gerekli	parayı	eşime
parayı	eşime	verirdim
eşime	verirdim	aybaşından
verirdim	aybaşından	aybaşına
aybaşından	aybaşına	bir
aybaşına	bir	şişe
bir	şişe	rakı
şişe	rakı	alıyorum
rakı	alıyorum	yasanın
alıyorum	yasanın	gelir
yasanın	gelir	vergisi
gelir	vergisi	kanununda
vergisi	kanununda	değişiklik
kanununda	değişiklik	yapan
değişiklik	yapan	maddeleri
yapan	maddeleri	yayımını
maddeleri	yayımını	izleyen
yayımını	izleyen	aybaşında
izleyen	aybaşında	kamu
aybaşında	kamu	ihale
kamu	ihale	kanununa
ihale	kanununa	ilişkin
kanununa	ilişkin	düzenlemeler
ilişkin	düzenlemeler	ocak
düzenlemeler	ocak	tarihinde
ocak	tarihinde	yürürlüğe
tarihinde	yürürlüğe	girecek
yürürlüğe	girecek	aybaşı
girecek	aybaşı	geldiğinde
aybaşı	geldiğinde	maaşların
geldiğinde	maaşların	nasıl
maaşların	nasıl	ödendiğini
nasıl	ödendiğini	göreceksiniz
ödendiğini	göreceksiniz	sözleriyle
göreceksiniz	sözleriyle	yanıtladı
sözleriyle	yanıtladı	bu
yanıtladı	bu	durumun
bu	durumun	ortaya
durumun	ortaya	çıktığı
ortaya	çıktığı	tarihi
çıktığı	tarihi	takip
tarihi	takip	eden
takip	eden	aybaşından
eden	aybaşından	itibaren
aybaşından	itibaren	ödemeye
itibaren	ödemeye	son
ödemeye	son	verilir
son	verilir	merkez
verilir	merkez	hakem
merkez	hakem	kurulu
hakem	kurulu	eski
kurulu	eski	başkanları
eski	başkanları	kulüplerde
başkanları	kulüplerde	profesyonel
kulüplerde	profesyonel	yönetici
profesyonel	yönetici	olmaya
yönetici	olmaya	devam
olmaya	devam	ediyor
devam	ediyor	levent
ediyor	levent	bıçakcı
levent	bıçakcı	federasyonunun
bıçakcı	federasyonunun	mhk
federasyonunun	mhk	başkanı
mhk	başkanı	ufuk
başkanı	ufuk	özertenin
ufuk	özertenin	gençlerbirliğinde
özertenin	gençlerbirliğinde	teknik
gençlerbirliğinde	teknik	işlerden
teknik	işlerden	sorumlu
işlerden	sorumlu	asbaşkanlığına
sorumlu	asbaşkanlığına	getirilmesinden
asbaşkanlığına	getirilmesinden	sonra
getirilmesinden	sonra	haluk
sonra	haluk	ulusoy
haluk	ulusoy	federasyonunun
ulusoy	federasyonunun	son
federasyonunun	son	döneminde
son	döneminde	başkanlığını
döneminde	başkanlığını	yapan
başkanlığını	yapan	bülent
yapan	bülent	yavuzun
bülent	yavuzun	da
yavuzun	da	ankaragücü
da	ankaragücü	genel
ankaragücü	genel	müdürlüğüne
genel	müdürlüğüne	atanacağı
müdürlüğüne	atanacağı	bildirildi
atanacağı	bildirildi	yavuzun
bildirildi	yavuzun	aybaşından
yavuzun	aybaşından	itibaren
aybaşından	itibaren	yeni
itibaren	yeni	görevine
yeni	görevine	başlayacağı
görevine	başlayacağı	ifade
başlayacağı	ifade	edildi
ifade	edildi	bronşit
edildi	bronşit	selülit
bronşit	selülit	saç
selülit	saç	aybaşı
saç	aybaşı	güneş
aybaşı	güneş	yanması
güneş	yanması	yüksek
yanması	yüksek	tansiyon
yüksek	tansiyon	ödem
tansiyon	ödem	romatizma
ödem	romatizma	gibi
romatizma	gibi	rahatsızlıklara
gibi	rahatsızlıklara	iyi
rahatsızlıklara	iyi	gelmektedir
iyi	gelmektedir	istakoz
gelmektedir	istakoz	işine
istakoz	işine	giren
işine	giren	sosyetenin
giren	sosyetenin	kamberi
sosyetenin	kamberi	sema
kamberi	sema	çelebi
sema	çelebi	aybaşında
çelebi	aybaşında	iş
aybaşında	iş	görüşmeleri
iş	görüşmeleri	için
görüşmeleri	için	amerikaya
için	amerikaya	gitmiş
amerikaya	gitmiş	vergi
gitmiş	vergi	barışı
vergi	barışı	kanunundan
barışı	kanunundan	yararlanmak
kanunundan	yararlanmak	isteyenlerin
yararlanmak	isteyenlerin	aybaşında
isteyenlerin	aybaşında	başlayan
aybaşında	başlayan	başvuru
başlayan	başvuru	ve
başvuru	ve	vergi
ve	vergi	borcunun
vergi	borcunun	ilk
borcunun	ilk	taksidini
ilk	taksidini	yatırma
taksidini	yatırma	süresi
yatırma	süresi	mart
süresi	mart	pazartesi
mart	pazartesi	günü
pazartesi	günü	mesai
günü	mesai	saati
mesai	saati	bitiminde
saati	bitiminde	sona
bitiminde	sona	erecek
sona	erecek	bu
erecek	bu	yüzdendir
bu	yüzdendir	ki
yüzdendir	ki	ilimsiz
ki	ilimsiz	kerâmet
ilimsiz	kerâmet	açığa
kerâmet	açığa	çıkarmak
açığa	çıkarmak	bütün
çıkarmak	bütün	evliyaullah
bütün	evliyaullah	nazarında
evliyaullah	nazarında	aybaşı
nazarında	aybaşı	gören
aybaşı	gören	kadının
gören	kadının	kanı
kadının	kanı	olarak
kanı	olarak	nitelendirilmiştir
olarak	nitelendirilmiştir	gerçekten
nitelendirilmiştir	gerçekten	de
gerçekten	de	kadınların
de	kadınların	ritmik
kadınların	ritmik	aybaşı
ritmik	aybaşı	kanamaları
aybaşı	kanamaları	olarak
kanamaları	olarak	isimlendirdikleri
olarak	isimlendirdikleri	vajinadan
isimlendirdikleri	vajinadan	gelen
vajinadan	gelen	kanamalar
gelen	kanamalar	bebeği
kanamalar	bebeği	içinde
bebeği	içinde	taşıyacak
içinde	taşıyacak	rahim
taşıyacak	rahim	iç
rahim	iç	zarının
iç	zarının	hormonlar
zarının	hormonlar	etkisiyle
hormonlar	etkisiyle	her
etkisiyle	her	ay
her	ay	kalınlaşması
ay	kalınlaşması	ancak
kalınlaşması	ancak	gebelik
ancak	gebelik	olmadığında
gebelik	olmadığında	artık
olmadığında	artık	beslenmesine
artık	beslenmesine	gerek
beslenmesine	gerek	kalmadığında
gerek	kalmadığında	dışarı
kalmadığında	dışarı	atılmasıdır
dışarı	atılmasıdır	kabakulak
atılmasıdır	kabakulak	otu
kabakulak	otu	adı
otu	adı	altında
adı	altında	idrar
altında	idrar	artırıcı
idrar	artırıcı	ve
artırıcı	ve	aybaşı
ve	aybaşı	kanamalarını
aybaşı	kanamalarını	düzenlemek
kanamalarını	düzenlemek	üzere
düzenlemek	üzere	önerilen
üzere	önerilen	bitkinin
önerilen	bitkinin	latince
bitkinin	latince	karşılığını
latince	karşılığını	gördüğümde
karşılığını	gördüğümde	endişelendim
gördüğümde	endişelendim	o
endişelendim	o	aybaşı
o	aybaşı	aylığından
aybaşı	aylığından	pudra
aylığından	pudra	aldı
pudra	aldı	kendine
aldı	kendine	bir
kendine	bir	çift
bir	çift	uzun
çift	uzun	çorap
uzun	çorap	topuklu
çorap	topuklu	ayakkabı
topuklu	ayakkabı	pudrayı
ayakkabı	pudrayı	sürüp
pudrayı	sürüp	sürüp
sürüp	sürüp	aynada
sürüp	aynada	baktı
aynada	baktı	yüzüne
baktı	yüzüne	ve
yüzüne	ve	o
ve	o	hafta
o	hafta	sonu
hafta	sonu	eve
sonu	eve	biraz
eve	biraz	daha
biraz	daha	geç
daha	geç	geldi
geç	geldi	bir
geldi	bir	emeklinin
bir	emeklinin	oğluyum
emeklinin	oğluyum	adım
oğluyum	adım	niyazi
adım	niyazi	jön
niyazi	jön	niyazi
jön	niyazi	de
niyazi	de	derler
de	derler	dostlar
derler	dostlar	sağolsun
dostlar	sağolsun	lise
sağolsun	lise	sondan
lise	sondan	terk
sondan	terk	okul
terk	okul	durumu
okul	durumu	fabrikada
durumu	fabrikada	muhasebeye
fabrikada	muhasebeye	takılıyorum
muhasebeye	takılıyorum	peder
takılıyorum	peder	sağolsun
peder	sağolsun	levazımcıydı
sağolsun	levazımcıydı	çok
levazımcıydı	çok	dostları
çok	dostları	vardı
dostları	vardı	o
vardı	o	zamanlardan
o	zamanlardan	eskiden
zamanlardan	eskiden	yağ
eskiden	yağ	tüccarıymış
yağ	tüccarıymış	şimdiki
tüccarıymış	şimdiki	patron
şimdiki	patron	babamın
patron	babamın	dostuymuş
babamın	dostuymuş	o
dostuymuş	o	zamanlardan
o	zamanlardan	bu
zamanlardan	bu	personelin
bu	personelin	emekli
personelin	emekli	keseneğine
emekli	keseneğine	esas
keseneğine	esas	aylığı
esas	aylığı	iştirakçi
aylığı	iştirakçi	olduğu
iştirakçi	olduğu	tarihi
olduğu	tarihi	izleyen
tarihi	izleyen	aybaşı
izleyen	aybaşı	olan
aybaşı	olan	tarihi
olan	tarihi	itibariyle
tarihi	itibariyle	yaşının
itibariyle	yaşının	dolumundan
yaşının	dolumundan	sonra
dolumundan	sonra	tarihleri
sonra	tarihleri	arasındaki
tarihleri	arasındaki	sigortalı
arasındaki	sigortalı	olarak
sigortalı	olarak	geçen
olarak	geçen	yıl
geçen	yıl	ay
yıl	ay	gün
ay	gün	tarihleri
gün	tarihleri	arasında
tarihleri	arasında	aday
arasında	aday	memur
aday	memur	olarak
memur	olarak	geçen
olarak	geçen	gün
geçen	gün	olmak
gün	olmak	üzere
olmak	üzere	toplam
üzere	toplam	yıl
toplam	yıl	ay
yıl	ay	günlük
ay	günlük	hizmeti
günlük	hizmeti	değerlendirilmeye
hizmeti	değerlendirilmeye	tabi
değerlendirilmeye	tabi	tutularak
tabi	tutularak	ortaokul
tutularak	ortaokul	mezunlarının
ortaokul	mezunlarının	göreve
mezunlarının	göreve	giriş
göreve	giriş	derecesi
giriş	derecesi	olan
derecesi	olan	den
olan	den	e
den	e	yükseltilecek
e	yükseltilecek	bu
yükseltilecek	bu	derece
bu	derece	ve
derece	ve	kademede
ve	kademede	de
kademede	de	ay
de	ay	gün
ay	gün	kıdemli
gün	kıdemli	sayılacaktır
kıdemli	sayılacaktır	ki
sayılacaktır	ki	kendisi
ki	kendisi	dünyaca
kendisi	dünyaca	ünlü
dünyaca	ünlü	sosyolog
ünlü	sosyolog	niyazi
sosyolog	niyazi	berkesin
niyazi	berkesin	küçük
berkesin	küçük	kardeşidir
küçük	kardeşidir	eğer
kardeşidir	eğer	aybaşı
eğer	aybaşı	ise
aybaşı	ise	oralarda
ise	oralarda	çarşıdaki
oralarda	çarşıdaki	binalarının
çarşıdaki	binalarının	kirasını
binalarının	kirasını	toplamaya
kirasını	toplamaya	gelmiş
toplamaya	gelmiş	mehmet
gelmiş	mehmet	hacımollaya
mehmet	hacımollaya	da
hacımollaya	da	rastlayacaksınız
da	rastlayacaksınız	yanınmda
rastlayacaksınız	yanınmda	yüzünden
yanınmda	yüzünden	nur
yüzünden	nur	ve
nur	ve	güven
ve	güven	akan
güven	akan	eniştesi
akan	eniştesi	sami
eniştesi	sami	hoca
sami	hoca	efendi
hoca	efendi	ile
efendi	ile	birşeyler
ile	birşeyler	konuşarak
birşeyler	konuşarak	yokuş
konuşarak	yokuş	aşağı
yokuş	aşağı	eve
aşağı	eve	gitmektedirler
eve	gitmektedirler	aynı
gitmektedirler	aynı	evi
aynı	evi	paylaşan
evi	paylaşan	bu
paylaşan	bu	iki
bu	iki	kafadar
iki	kafadar	aybaşı
kafadar	aybaşı	münasebetiyle
aybaşı	münasebetiyle	hipermarketlerden
münasebetiyle	hipermarketlerden	birine
hipermarketlerden	birine	gidip
birine	gidip	paket
gidip	paket	makarna
paket	makarna	kilo
makarna	kilo	sosis
kilo	sosis	koli
sosis	koli	tekel
koli	tekel	birası
tekel	birası	ve
birası	ve	lik
ve	lik	tuvalet
lik	tuvalet	kağıdı
tuvalet	kağıdı	almışlar
kağıdı	almışlar	allah
almışlar	allah	sizi
allah	sizi	inandırsın
sizi	inandırsın	hiç
inandırsın	hiç	yalanım
hiç	yalanım	yok
yalanım	yok	ve
yok	ve	hipermarketi
ve	hipermarketi	herkesin
hipermarketi	herkesin	dehşet
herkesin	dehşet	dolu
dehşet	dolu	bakışları
dolu	bakışları	içinde
bakışları	içinde	terketmişler
içinde	terketmişler	ssk
terketmişler	ssk	sağlık
ssk	sağlık	kurumlarında
sağlık	kurumlarında	spiral
kurumlarında	spiral	takma
spiral	takma	aybaşı
takma	aybaşı	düzenleme
aybaşı	düzenleme	ve
düzenleme	ve	sterilizasyon
ve	sterilizasyon	ameliyatı
sterilizasyon	ameliyatı	istek
ameliyatı	istek	üzerine
istek	üzerine	yapılmalıdır
üzerine	yapılmalıdır	yukarıdaki
yapılmalıdır	yukarıdaki	süreler
yukarıdaki	süreler	ihya
süreler	ihya	edilen
ihya	edilen	süreye
edilen	süreye	ilişkin
süreye	ilişkin	tutar
ilişkin	tutar	dahil
tutar	dahil	her
dahil	her	türlü
her	türlü	borçların
türlü	borçların	ödendiği
borçların	ödendiği	tarihi
ödendiği	tarihi	takip
tarihi	takip	eden
takip	eden	aybaşı
eden	aybaşı	itibarıyla
aybaşı	itibarıyla	bu
itibarıyla	bu	kanuna
bu	kanuna	göre
kanuna	göre	aylık
göre	aylık	bağlanmasında
aylık	bağlanmasında	dikkate
bağlanmasında	dikkate	alınır
dikkate	alınır	aile
alınır	aile	yüzdelerinde
aile	yüzdelerinde	baz
yüzdelerinde	baz	anket
baz	anket	uygulanan
anket	uygulanan	tüm
uygulanan	tüm	kadınlardır
tüm	kadınlardır	kısır
kadınlardır	kısır	aybaşından
kısır	aybaşından	kesilmiş
aybaşından	kesilmiş	ve
kesilmiş	ve	gebeler
ve	gebeler	dahil
gebeler	dahil	kadın
dahil	kadın	sadece
kadın	sadece	üre
sadece	üre	ve
üre	ve	aybaşı
ve	aybaşı	kanamasına
aybaşı	kanamasına	yetecek
kanamasına	yetecek	kadar
yetecek	kadar	kibrit
kadar	kibrit	çöpü
kibrit	çöpü	çapında
çöpü	çapında	bir
çapında	bir	açıklık
bir	açıklık	bırakmıştı
açıklık	bırakmıştı	arketipsel
bırakmıştı	arketipsel	olarak
arketipsel	olarak	kırmızı
olarak	kırmızı	ayakkabıların
kırmızı	ayakkabıların	aybaşı
ayakkabıların	aybaşı	kanamalarının
aybaşı	kanamalarının	başlaması
kanamalarının	başlaması	ve
başlaması	ve	anne
ve	anne	tarafından
anne	tarafından	daha
tarafından	daha	az
daha	az	korunan
az	korunan	bir
korunan	bir	hayata
bir	hayata	geçilmesi
hayata	geçilmesi	genç
geçilmesi	genç	bir
genç	bir	kadına
bir	kadına	kendisinden
kadına	kendisinden	büyük
kendisinden	büyük	kadınlar
büyük	kadınlar	tarafından
kadınlar	tarafından	dış
tarafından	dış	dünyanın
dış	dünyanın	farkında
dünyanın	farkında	olma
farkında	olma	ve
olma	ve	ona
ve	ona	tepki
ona	tepki	gösterme
tepki	gösterme	yollarının
gösterme	yollarının	öğretilmesiyle
yollarının	öğretilmesiyle	ilgili
öğretilmesiyle	ilgili	çok
ilgili	çok	eski
çok	eski	bir
eski	bir	öykü
bir	öykü	ya
öykü	ya	da
ya	da	mitin
da	mitin	üst
mitin	üst	üste
üst	üste	binen
üste	binen	parçalarından
binen	parçalarından	biri
parçalarından	biri	olması
biri	olması	mümkündür
olması	mümkündür	estese
mümkündür	estese	göre
estese	göre	en
göre	en	önemli
en	önemli	eşik
önemli	eşik	törenlerinden
eşik	törenlerinden	biri
törenlerinden	biri	ilk
biri	ilk	aybaşı
ilk	aybaşı	kanamasıyla
aybaşı	kanamasıyla	ilgilidir
kanamasıyla	ilgilidir	tören
ilgilidir	tören	bütün
tören	bütün	evreleriyle
bütün	evreleriyle	kırmızı
evreleriyle	kırmızı	kan
kırmızı	kan	ile
kan	ile	ilgilidir
ile	ilgilidir	aybaşı
ilgilidir	aybaşı	kanamasının
aybaşı	kanamasının	rahimden
kanamasının	rahimden	gelen
rahimden	gelen	kanı
gelen	kanı	hep
kanı	hep	ayaklara
hep	ayaklara	doğru
ayaklara	doğru	akan
doğru	akan	kanlardır
akan	kanlardır	ve
kanlardır	ve	özgün
ve	özgün	kırmızı
özgün	kırmızı	ayakkabılarda
kırmızı	ayakkabılarda	pek
ayakkabılarda	pek	çok
pek	çok	mânâ
çok	mânâ	gizlidir
mânâ	gizlidir	nitekim
gizlidir	nitekim	kadınlar
nitekim	kadınlar	aybaşı
kadınlar	aybaşı	kanamaları
aybaşı	kanamaları	sırasında
kanamaları	sırasında	özbilgiye
sırasında	özbilgiye	her
özbilgiye	her	zamankinden
her	zamankinden	daha
zamankinden	daha	yakındır
daha	yakındır	bilinçdışı
yakındır	bilinçdışı	ile
bilinçdışı	ile	bilinçli
ile	bilinçli	akıl
bilinçli	akıl	arasındaki
akıl	arasındaki	zar
arasındaki	zar	önemli
zar	önemli	ölçüde
önemli	ölçüde	incelir
ölçüde	incelir	ayın
incelir	ayın	evreleri
ayın	evreleri	ile
evreleri	ile	cinayetler
ile	cinayetler	kazalar
cinayetler	kazalar	dünyamızda
kazalar	dünyamızda	oluşan
dünyamızda	oluşan	kasırgaların
oluşan	kasırgaların	dağılımı
kasırgaların	dağılımı	magnetik
dağılımı	magnetik	alanlarda
magnetik	alanlarda	bozulma
alanlarda	bozulma	kadınların
bozulma	kadınların	aybaşları
kadınların	aybaşları	ve
aybaşları	ve	sara
ve	sara	nöbetleri
sara	nöbetleri	arasındaki
nöbetleri	arasındaki	ilişkileri
arasındaki	ilişkileri	yakından
ilişkileri	yakından	takip
yakından	takip	ediyorlar
takip	ediyorlar	devamlı
ediyorlar	devamlı	istatistiki
devamlı	istatistiki	bilgi
istatistiki	bilgi	topluyorlar
bilgi	topluyorlar	yeni
topluyorlar	yeni	kadrolara
yeni	kadrolara	atanma
kadrolara	atanma	tarihi
atanma	tarihi	meclisin
tarihi	meclisin	karar
meclisin	karar	tarihini
karar	tarihini	takip
tarihini	takip	eden
takip	eden	aybaşını
eden	aybaşını	geçemez
aybaşını	geçemez	bu
geçemez	bu	kanun
bu	kanun	hükmünde
kanun	hükmünde	kararnamenin
hükmünde	kararnamenin	yürürlüğe
kararnamenin	yürürlüğe	girdiği
yürürlüğe	girdiği	tarihi
girdiği	tarihi	izleyen
tarihi	izleyen	aybaşından
izleyen	aybaşından	itibaren
aybaşından	itibaren	sayılı
itibaren	sayılı	kanun
sayılı	kanun	ile
kanun	ile	bu
ile	bu	kanunun
bu	kanunun	ek
kanunun	ek	ve
ek	ve	tadilleri
ve	tadilleri	uyarınca
tadilleri	uyarınca	yılı
uyarınca	yılı	aralık
yılı	aralık	ayında
aralık	ayında	ad
ayında	ad	çekme
ad	çekme	işlemine
çekme	işlemine	tabi
işlemine	tabi	olanlar
tabi	olanlar	ile
olanlar	ile	herhangi
ile	herhangi	bir
herhangi	bir	nedenle
bir	nedenle	kurul
nedenle	kurul	üyeliğinden
kurul	üyeliğinden	ayrılanların
üyeliğinden	ayrılanların	yerine
ayrılanların	yerine	bu
yerine	bu	kanun
bu	kanun	hükmünde
kanun	hükmünde	kararnameye
hükmünde	kararnameye	göre
kararnameye	göre	seçimler
göre	seçimler	ve
seçimler	ve	atamalar
ve	atamalar	yapılır
atamalar	yapılır	aybaşı
yapılır	aybaşı	yılbaşı
aybaşı	yılbaşı	itibariyle
yılbaşı	itibariyle	yanı
itibariyle	yanı	başımızdaki
yanı	başımızdaki	romanya
başımızdaki	romanya	ile
romanya	ile	bulgaristanın
ile	bulgaristanın	ab
bulgaristanın	ab	üyesi
ab	üyesi	olmaları
üyesi	olmaları	hem
olmaları	hem	oralarda
hem	oralarda	hem
oralarda	hem	buralarda
hem	buralarda	bir
buralarda	bir	rezalettir
bir	rezalettir	gelecekte
rezalettir	gelecekte	dünya
gelecekte	dünya	çapında
dünya	çapında	ünlü
çapında	ünlü	bir
ünlü	bir	modacı
bir	modacı	olma
modacı	olma	hayali
olma	hayali	kuran
hayali	kuran	ninesinin
kuran	ninesinin	hediyesi
ninesinin	hediyesi	dikiş
hediyesi	dikiş	makinesiyle
dikiş	makinesiyle	kendi
makinesiyle	kendi	tasarımlarını
kendi	tasarımlarını	yaratan
tasarımlarını	yaratan	yirmi
yaratan	yirmi	dört
yirmi	dört	yaşına
dört	yaşına	kadar
yaşına	kadar	aybaşı
kadar	aybaşı	olamama
aybaşı	olamama	korkusundan
olamama	korkusundan	sıyrılamayan
korkusundan	sıyrılamayan	yaratıcı
sıyrılamayan	yaratıcı	ve
yaratıcı	ve	heyecanlı
ve	heyecanlı	lucy
heyecanlı	lucy	lucynin
lucy	lucynin	hcdsi
lucynin	hcdsi	jules
hcdsi	jules	yani
jules	yani	hep
yani	hep	canciğer
hep	canciğer	dostu
canciğer	dostu	julietta
dostu	julietta	garcia
julietta	garcia	perez
garcia	perez	benedicionatorio
perez	benedicionatorio	halkın
benedicionatorio	halkın	aybaşı
halkın	aybaşı	polisi
aybaşı	polisi	diye
polisi	diye	alay
diye	alay	ettiği
alay	ettiği	hükümet
ettiği	hükümet	görevlileri
hükümet	görevlileri	karınlarında
görevlileri	karınlarında	şişme
karınlarında	şişme	gördükleri
şişme	gördükleri	kadınlara
gördükleri	kadınlara	iş
kadınlara	iş	yerlerinde
iş	yerlerinde	gebelik
yerlerinde	gebelik	testi
gebelik	testi	yapıyordu
testi	yapıyordu	bu
yapıyordu	bu	parayla
bu	parayla	aybaşına
parayla	aybaşına	kadar
aybaşına	kadar	bir
kadar	bir	ev
bir	ev	nasıl
ev	nasıl	geçindirilir
nasıl	geçindirilir	bize
geçindirilir	bize	babadan
bize	babadan	kalan
babadan	kalan	bir
kalan	bir	laf
bir	laf	vardır
laf	vardır	dur
vardır	dur	hele
dur	hele	aybaşı
hele	aybaşı	gelsin
aybaşı	gelsin	de
gelsin	de	ister
de	ister	devlet
ister	devlet	memuru
devlet	memuru	olsun
memuru	olsun	ister
olsun	ister	özel
ister	özel	sektörde
özel	sektörde	çalışsın
sektörde	çalışsın	herkes
çalışsın	herkes	aybaşını
herkes	aybaşını	dört
aybaşını	dört	gözle
dört	gözle	bekler
gözle	bekler	asgari
bekler	asgari	ücretle
asgari	ücretle	işçi
ücretle	işçi	çalıştıran
işçi	çalıştıran	her
çalıştıran	her	işveren
her	işveren	her
işveren	her	aybaşı
her	aybaşı	işçisine
aybaşı	işçisine	milyon
işçisine	milyon	lira
milyon	lira	devlete
lira	devlete	milyon
devlete	milyon	lira
milyon	lira	ödeyecek
lira	ödeyecek	faizlerin
ödeyecek	faizlerin	bugün
faizlerin	bugün	aybaşı
bugün	aybaşı	olması
aybaşı	olması	nedeniyle
olması	nedeniyle	eski
